tensor(0.0929, device='cuda:0')
tensor(0.0876, device='cuda:0')
tensor(0.1650, device='cuda:0')
tensor(0.0860, device='cuda:0')
tensor(0.0545, device='cuda:0')
tensor(0.1620, device='cuda:0')
tensor(0.1874, device='cuda:0')
tensor(0.0370, device='cuda:0')
tensor(0.1122, device='cuda:0')
tensor(0.0890, device='cuda:0')
tensor(0.1742, device='cuda:0')
tensor(0.0939, device='cuda:0')
tensor(0.0486, device='cuda:0')
tensor(0.1669, device='cuda:0')
tensor(0.1593, device='cuda:0')
tensor(0.0397, device='cuda:0')
tensor(0.1130, device='cuda:0')
tensor(0.0904, device='cuda:0')
tensor(0.1717, device='cuda:0')
tensor(0.0662, device='cuda:0')
tensor(0.0298, device='cuda:0')
tensor(0.1659, device='cuda:0')
tensor(0.1805, device='cuda:0')
tensor(0.0247, device='cuda:0')
tensor(0.0974, device='cuda:0')
tensor(0.1101, device='cuda:0')
tensor(0.1759, device='cuda:0')
tensor(0.0875, device='cuda:0')
tensor(0.0440, device='cuda:0')
tensor(0.1588, device='cuda:0')
tensor(0.1691, device='cuda:0')
tensor(0.0284, device='cuda:0')
tensor(0.1205, device='cuda:0')
tensor(0.0923, device='cuda:0')
tensor(0.1894, device='cuda:0')
tensor(0.0865, device='cuda:0')
tensor(0.0338, device='cuda:0')
tensor(0.1542, device='cuda:0')
tensor(0.1752, device='cuda:0')
tensor(0.0312, device='cuda:0')
tensor(0.1032, device='cuda:0')
tensor(0.0901, device='cuda:0')
tensor(0.1596, device='cuda:0')
tensor(0.0888, device='cuda:0')
tensor(0.0368, device='cuda:0')
tensor(0.1731, device='cuda:0')
tensor(0.1776, device='cuda:0')
tensor(0.0388, device='cuda:0')
tensor(0.1047, device='cuda:0')
tensor(0.0968, device='cuda:0')
tensor(0.1718, device='cuda:0')
tensor(0.0907, device='cuda:0')
tensor(0.0356, device='cuda:0')
tensor(0.1632, device='cuda:0')
tensor(0.1538, device='cuda:0')
tensor(0.0343, device='cuda:0')
tensor(0.1090, device='cuda:0')
tensor(0.1023, device='cuda:0')
tensor(0.1367, device='cuda:0')
tensor(0.1026, device='cuda:0')
tensor(0.0483, device='cuda:0')
tensor(0.1451, device='cuda:0')
tensor(0.1375, device='cuda:0')
tensor(0.0402, device='cuda:0')
tensor(0.1221, device='cuda:0')
tensor(0.0874, device='cuda:0')
tensor(0.1604, device='cuda:0')
tensor(0.1142, device='cuda:0')
tensor(0.0612, device='cuda:0')
tensor(0.1683, device='cuda:0')
tensor(0.1700, device='cuda:0')
tensor(0.0499, device='cuda:0')
tensor(0.1198, device='cuda:0')
tensor(0.0836, device='cuda:0')
