tensor(0.1814, grad_fn=<MseLossBackward>)
tensor(0.1247, grad_fn=<MseLossBackward>)
tensor(0.0254, grad_fn=<MseLossBackward>)
tensor(0.0387, grad_fn=<MseLossBackward>)
tensor(0.0368, grad_fn=<MseLossBackward>)
tensor(0.0274, grad_fn=<MseLossBackward>)
tensor(0.1227, grad_fn=<MseLossBackward>)
tensor(0.0176, grad_fn=<MseLossBackward>)
tensor(0.0265, grad_fn=<MseLossBackward>)
tensor(0.0144, grad_fn=<MseLossBackward>)
tensor(0.1132, grad_fn=<MseLossBackward>)
tensor(0.0180, grad_fn=<MseLossBackward>)
